key,value
UA000000107397605,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880834503328,""geo"":{""city"":""Fort Lauderdale"",""state"":""FL""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880834503328,""user_id"":""UA000000107397605""}"
UA000000107325264,"{""device"":""Android"",""ecommerce"":{""purchase_revenue_in_usd"":1195.0,""total_item_quantity"":1,""unique_items"":1},""event_name"":""finalize"",""event_previous_timestamp"":1593876666372094,""event_timestamp"":1593880830038130,""geo"":{""city"":""Tuttle"",""state"":""OK""},""items"":[{""item_id"":""M_STAN_K"",""item_name"":""Standard King Mattress"",""item_revenue_in_usd"":1195.0,""price_in_usd"":1195.0,""quantity"":1}],""traffic_source"":""direct"",""user_first_touch_timestamp"":1593872552663730,""user_id"":""UA000000107325264""}"
UA000000107393216,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""checkout"",""event_previous_timestamp"":1593880741311315,""event_timestamp"":1593880830140019,""geo"":{""city"":""Fargo"",""state"":""ND""},""items"":[{""item_id"":""M_STAN_F"",""item_name"":""Standard Full Mattress"",""item_revenue_in_usd"":945.0,""price_in_usd"":945.0,""quantity"":1}],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880382734336,""user_id"":""UA000000107393216""}"
UA000000107393216,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""guest"",""event_previous_timestamp"":1593880830140019,""event_timestamp"":1593880836873161,""geo"":{""city"":""Fargo"",""state"":""ND""},""items"":[{""item_id"":""M_STAN_F"",""item_name"":""Standard Full Mattress"",""item_revenue_in_usd"":945.0,""price_in_usd"":945.0,""quantity"":1}],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880382734336,""user_id"":""UA000000107393216""}"
UA000000107397586,"{""device"":""Chrome OS"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880832658403,""geo"":{""city"":""Fremont"",""state"":""NE""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880832658403,""user_id"":""UA000000107397586""}"
UA000000107377602,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""email_coupon"",""event_previous_timestamp"":1593880697501673,""event_timestamp"":1593880832779143,""geo"":{""city"":""Vineland"",""state"":""NJ""},""items"":[],""traffic_source"":""direct"",""user_first_touch_timestamp"":1593878686736308,""user_id"":""UA000000107377602""}"
UA000000107397586,"{""device"":""Chrome OS"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880832658403,""geo"":{""city"":""Fremont"",""state"":""NE""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880832658403,""user_id"":""UA000000107397586""}"
UA000000107389053,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""warranty"",""event_previous_timestamp"":1593880776946615,""event_timestamp"":1593880832821465,""geo"":{""city"":""Blanchard"",""state"":""OK""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593879936686872,""user_id"":""UA000000107389053""}"
UA000000107397639,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""pillows"",""event_timestamp"":1593880837721570,""geo"":{""city"":""Bixby"",""state"":""OK""},""items"":[],""traffic_source"":""instagram"",""user_first_touch_timestamp"":1593880837721570,""user_id"":""UA000000107397639""}"
UA000000107369427,"{""device"":""Android"",""ecommerce"":{},""event_name"":""add_item"",""event_previous_timestamp"":1593880753875794,""event_timestamp"":1593880826675403,""geo"":{""city"":""Chicago"",""state"":""IL""},""items"":[{""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595.0,""price_in_usd"":595.0,""quantity"":1}],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593877772975990,""user_id"":""UA000000107369427""}"
UA000000107388621,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""email_coupon"",""event_previous_timestamp"":1593880770092554,""event_timestamp"":1593880829320848,""geo"":{""city"":""Hickory"",""state"":""NC""},""items"":[{""coupon"":""NEWBED10"",""item_id"":""M_STAN_F"",""item_name"":""Standard Full Mattress"",""item_revenue_in_usd"":850.5,""price_in_usd"":945.0,""quantity"":1}],""traffic_source"":""direct"",""user_first_touch_timestamp"":1593879889503719,""user_id"":""UA000000107388621""}"
UA000000107397687,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880842839276,""geo"":{""city"":""Laurel"",""state"":""MS""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880842839276,""user_id"":""UA000000107397687""}"
UA000000107385488,"{""device"":""Chrome OS"",""ecommerce"":{},""event_name"":""faq"",""event_previous_timestamp"":1593880757349703,""event_timestamp"":1593880846659626,""geo"":{""city"":""Deltona"",""state"":""FL""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593879548121716,""user_id"":""UA000000107385488""}"
UA000000107381243,"{""device"":""Linux"",""ecommerce"":{},""event_name"":""cart"",""event_previous_timestamp"":1593879223448655,""event_timestamp"":1593880850047873,""geo"":{""city"":""Fayetteville"",""state"":""NC""},""items"":[{""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":1190.0,""price_in_usd"":595.0,""quantity"":2}],""traffic_source"":""instagram"",""user_first_touch_timestamp"":1593879086979703,""user_id"":""UA000000107381243""}"
UA000000107397687,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880842839276,""geo"":{""city"":""Laurel"",""state"":""MS""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880842839276,""user_id"":""UA000000107397687""}"
UA000000107397728,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880847285477,""geo"":{""city"":""Charlotte"",""state"":""NC""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880847285477,""user_id"":""UA000000107397728""}"
UA000000107397730,"{""device"":""Android"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880847461862,""geo"":{""city"":""Evansville"",""state"":""IN""},""items"":[],""traffic_source"":""instagram"",""user_first_touch_timestamp"":1593880847461862,""user_id"":""UA000000107397730""}"
UA000000107396547,"{""device"":""Android"",""ecommerce"":{},""event_name"":""faq"",""event_previous_timestamp"":1593880722972739,""event_timestamp"":1593880849554636,""geo"":{""city"":""Kenyon"",""state"":""MN""},""items"":[],""traffic_source"":""instagram"",""user_first_touch_timestamp"":1593880722972739,""user_id"":""UA000000107396547""}"
UA000000107397773,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880852578389,""geo"":{""city"":""Brighton"",""state"":""CO""},""items"":[],""traffic_source"":""email"",""user_first_touch_timestamp"":1593880852578389,""user_id"":""UA000000107397773""}"
UA000000107385277,"{""device"":""Android"",""ecommerce"":{},""event_name"":""mattresses"",""event_previous_timestamp"":1593879527738700,""event_timestamp"":1593880854796014,""geo"":{""city"":""Licking"",""state"":""MO""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593879524935108,""user_id"":""UA000000107385277""}"
UA000000107385488,"{""device"":""Chrome OS"",""ecommerce"":{},""event_name"":""faq"",""event_previous_timestamp"":1593880757349703,""event_timestamp"":1593880846659626,""geo"":{""city"":""Deltona"",""state"":""FL""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593879548121716,""user_id"":""UA000000107385488""}"
UA000000107397786,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""pillows"",""event_timestamp"":1593880853396735,""geo"":{""city"":""Cheney"",""state"":""WA""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880853396735,""user_id"":""UA000000107397786""}"
UA000000107397730,"{""device"":""Android"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880847461862,""geo"":{""city"":""Evansville"",""state"":""IN""},""items"":[],""traffic_source"":""instagram"",""user_first_touch_timestamp"":1593880847461862,""user_id"":""UA000000107397730""}"
UA000000107397260,"{""device"":""Android"",""ecommerce"":{},""event_name"":""original"",""event_previous_timestamp"":1593880799422268,""event_timestamp"":1593880859773360,""geo"":{""city"":""Hanahan"",""state"":""SC""},""items"":[],""traffic_source"":""direct"",""user_first_touch_timestamp"":1593880799422268,""user_id"":""UA000000107397260""}"
UA000000107372266,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""cart"",""event_previous_timestamp"":1593879895509610,""event_timestamp"":1593880851207471,""geo"":{""city"":""Las Vegas"",""state"":""NV""},""items"":[{""item_id"":""M_STAN_Q"",""item_name"":""Standard Queen Mattress"",""item_revenue_in_usd"":1045.0,""price_in_usd"":1045.0,""quantity"":1}],""traffic_source"":""google"",""user_first_touch_timestamp"":1593878092609940,""user_id"":""UA000000107372266""}"
UA000000107397438,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""reviews"",""event_previous_timestamp"":1593880815619606,""event_timestamp"":1593880853071821,""geo"":{""city"":""Houston"",""state"":""TX""},""items"":[],""traffic_source"":""instagram"",""user_first_touch_timestamp"":1593880815619606,""user_id"":""UA000000107397438""}"
UA000000107397728,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880847285477,""geo"":{""city"":""Charlotte"",""state"":""NC""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880847285477,""user_id"":""UA000000107397728""}"
UA000000107390177,"{""device"":""Android"",""ecommerce"":{},""event_name"":""checkout"",""event_previous_timestamp"":1593880737861756,""event_timestamp"":1593880857054382,""geo"":{""city"":""Fort Wayne"",""state"":""IN""},""items"":[{""item_id"":""M_STAN_K"",""item_name"":""Standard King Mattress"",""item_revenue_in_usd"":1195.0,""price_in_usd"":1195.0,""quantity"":1}],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880060406714,""user_id"":""UA000000107390177""}"
UA000000107342909,"{""device"":""Android"",""ecommerce"":{""purchase_revenue_in_usd"":1195.0,""total_item_quantity"":1,""unique_items"":1},""event_name"":""finalize"",""event_previous_timestamp"":1593879345802040,""event_timestamp"":1593880858152549,""geo"":{""city"":""Plano"",""state"":""TX""},""items"":[{""item_id"":""M_STAN_K"",""item_name"":""Standard King Mattress"",""item_revenue_in_usd"":1195.0,""price_in_usd"":1195.0,""quantity"":1}],""traffic_source"":""direct"",""user_first_touch_timestamp"":1593874749353174,""user_id"":""UA000000107342909""}"
UA000000107397831,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880859275952,""geo"":{""city"":""Newport"",""state"":""AR""},""items"":[],""traffic_source"":""youtube"",""user_first_touch_timestamp"":1593880859275952,""user_id"":""UA000000107397831""}"
UA000000107397874,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880862739252,""geo"":{""city"":""Anaheim"",""state"":""CA""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880862739252,""user_id"":""UA000000107397874""}"
UA000000107397879,"{""device"":""Android"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880863170380,""geo"":{""city"":""Reno"",""state"":""NV""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880863170380,""user_id"":""UA000000107397879""}"
UA000000107397887,"{""device"":""Chrome OS"",""ecommerce"":{},""event_name"":""pillows"",""event_timestamp"":1593880863872645,""geo"":{""city"":""Lakewood"",""state"":""CO""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880863872645,""user_id"":""UA000000107397887""}"
UA000000107396942,"{""device"":""Android"",""ecommerce"":{},""event_name"":""add_item"",""event_previous_timestamp"":1593880763048089,""event_timestamp"":1593880860261874,""geo"":{""city"":""Brentwood"",""state"":""MO""},""items"":[{""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595.0,""price_in_usd"":595.0,""quantity"":1}],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880763048089,""user_id"":""UA000000107396942""}"
UA000000107395968,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""main"",""event_previous_timestamp"":1593880664658773,""event_timestamp"":1593880861030241,""geo"":{""city"":""Fishers"",""state"":""IN""},""items"":[],""traffic_source"":""youtube"",""user_first_touch_timestamp"":1593880664658773,""user_id"":""UA000000107395968""}"
UA000000107397904,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880865799194,""geo"":{""city"":""Madera"",""state"":""CA""},""items"":[],""traffic_source"":""instagram"",""user_first_touch_timestamp"":1593880865799194,""user_id"":""UA000000107397904""}"
UA000000107391597,"{""device"":""Linux"",""ecommerce"":{},""event_name"":""checkout"",""event_previous_timestamp"":1593880816137071,""event_timestamp"":1593880860384361,""geo"":{""city"":""Garden City"",""state"":""KS""},""items"":[{""item_id"":""M_STAN_Q"",""item_name"":""Standard Queen Mattress"",""item_revenue_in_usd"":1045.0,""price_in_usd"":1045.0,""quantity"":1}],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880206481325,""user_id"":""UA000000107391597""}"
UA000000107391147,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""mattresses"",""event_previous_timestamp"":1593880159894838,""event_timestamp"":1593880862634110,""geo"":{""city"":""Pomona"",""state"":""CA""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880159894838,""user_id"":""UA000000107391147""}"
UA000000107397950,"{""device"":""Android"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880872259777,""geo"":{""city"":""Laredo"",""state"":""TX""},""items"":[],""traffic_source"":""instagram"",""user_first_touch_timestamp"":1593880872259777,""user_id"":""UA000000107397950""}"
UA000000107395968,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""main"",""event_previous_timestamp"":1593880664658773,""event_timestamp"":1593880861030241,""geo"":{""city"":""Fishers"",""state"":""IN""},""items"":[],""traffic_source"":""youtube"",""user_first_touch_timestamp"":1593880664658773,""user_id"":""UA000000107395968""}"
UA000000107397904,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""foam"",""event_previous_timestamp"":1593880865799194,""event_timestamp"":1593880874067754,""geo"":{""city"":""Madera"",""state"":""CA""},""items"":[],""traffic_source"":""instagram"",""user_first_touch_timestamp"":1593880865799194,""user_id"":""UA000000107397904""}"
UA000000107397874,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880862739252,""geo"":{""city"":""Anaheim"",""state"":""CA""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880862739252,""user_id"":""UA000000107397874""}"
UA000000107396942,"{""device"":""Android"",""ecommerce"":{},""event_name"":""cart"",""event_previous_timestamp"":1593880860261874,""event_timestamp"":1593880871208213,""geo"":{""city"":""Brentwood"",""state"":""MO""},""items"":[{""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595.0,""price_in_usd"":595.0,""quantity"":1}],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880763048089,""user_id"":""UA000000107396942""}"
UA000000107389076,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""mattresses"",""event_previous_timestamp"":1593879939640888,""event_timestamp"":1593880872825589,""geo"":{""city"":""Columbus"",""state"":""OH""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593879939640888,""user_id"":""UA000000107389076""}"
UA000000107396942,"{""device"":""Android"",""ecommerce"":{},""event_name"":""add_item"",""event_previous_timestamp"":1593880763048089,""event_timestamp"":1593880860261874,""geo"":{""city"":""Brentwood"",""state"":""MO""},""items"":[{""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595.0,""price_in_usd"":595.0,""quantity"":1}],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880763048089,""user_id"":""UA000000107396942""}"
UA000000107397958,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880873214683,""geo"":{""city"":""New York"",""state"":""NY""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880873214683,""user_id"":""UA000000107397958""}"
UA000000107390606,"{""device"":""Android"",""ecommerce"":{},""event_name"":""guest"",""event_previous_timestamp"":1593880229889108,""event_timestamp"":1593880879837889,""geo"":{""city"":""Seattle"",""state"":""WA""},""items"":[{""item_id"":""M_PREM_T"",""item_name"":""Premium Twin Mattress"",""item_revenue_in_usd"":1095.0,""price_in_usd"":1095.0,""quantity"":1}],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880101991843,""user_id"":""UA000000107390606""}"
UA000000107361913,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""shipping_info"",""event_previous_timestamp"":1593880547545154,""event_timestamp"":1593880870439090,""geo"":{""city"":""Rio Rancho"",""state"":""NM""},""items"":[{""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595.0,""price_in_usd"":595.0,""quantity"":1}],""traffic_source"":""google"",""user_first_touch_timestamp"":1593876958536774,""user_id"":""UA000000107361913""}"
UA000000107397945,"{""device"":""Linux"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880871639660,""geo"":{""city"":""New York"",""state"":""NY""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880871639660,""user_id"":""UA000000107397945""}"
UA000000107397945,"{""device"":""Linux"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880871639660,""geo"":{""city"":""New York"",""state"":""NY""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880871639660,""user_id"":""UA000000107397945""}"
UA000000107395007,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""foam"",""event_previous_timestamp"":1593880746361379,""event_timestamp"":1593880871889257,""geo"":{""city"":""Yonkers"",""state"":""NY""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880568688977,""user_id"":""UA000000107395007""}"
UA000000107380248,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""down"",""event_previous_timestamp"":1593878984032232,""event_timestamp"":1593880875858249,""geo"":{""city"":""Jacksonville"",""state"":""FL""},""items"":[],""traffic_source"":""instagram"",""user_first_touch_timestamp"":1593878984032232,""user_id"":""UA000000107380248""}"
UA000000107398008,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880878397349,""geo"":{""city"":""Lubbock"",""state"":""TX""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880878397349,""user_id"":""UA000000107398008""}"
UA000000107396286,"{""device"":""Android"",""ecommerce"":{},""event_name"":""premium"",""event_previous_timestamp"":1593880695978108,""event_timestamp"":1593880879436079,""geo"":{""city"":""Gillette"",""state"":""WY""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880695978108,""user_id"":""UA000000107396286""}"
UA000000107361913,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""shipping_info"",""event_previous_timestamp"":1593880547545154,""event_timestamp"":1593880870439090,""geo"":{""city"":""Rio Rancho"",""state"":""NM""},""items"":[{""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595.0,""price_in_usd"":595.0,""quantity"":1}],""traffic_source"":""google"",""user_first_touch_timestamp"":1593876958536774,""user_id"":""UA000000107361913""}"
UA000000107395007,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""foam"",""event_previous_timestamp"":1593880746361379,""event_timestamp"":1593880871889257,""geo"":{""city"":""Yonkers"",""state"":""NY""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880568688977,""user_id"":""UA000000107395007""}"
UA000000107383039,"{""device"":""Android"",""ecommerce"":{},""event_name"":""cart"",""event_previous_timestamp"":1593879321881165,""event_timestamp"":1593880878386459,""geo"":{""city"":""East Providence"",""state"":""RI""},""items"":[{""item_id"":""M_STAN_K"",""item_name"":""Standard King Mattress"",""item_revenue_in_usd"":1195.0,""price_in_usd"":1195.0,""quantity"":1}],""traffic_source"":""google"",""user_first_touch_timestamp"":1593879279163480,""user_id"":""UA000000107383039""}"
UA000000107396074,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""delivery"",""event_previous_timestamp"":1593880715081678,""event_timestamp"":1593880880758359,""geo"":{""city"":""New York"",""state"":""NY""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880674737173,""user_id"":""UA000000107396074""}"
UA000000107398026,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880881427308,""geo"":{""city"":""Trinity"",""state"":""NC""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880881427308,""user_id"":""UA000000107398026""}"
UA000000107398030,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880882429980,""geo"":{""city"":""Lomita"",""state"":""CA""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880882429980,""user_id"":""UA000000107398030""}"
UA000000107397945,"{""device"":""Linux"",""ecommerce"":{},""event_name"":""original"",""event_previous_timestamp"":1593880871639660,""event_timestamp"":1593880884527813,""geo"":{""city"":""New York"",""state"":""NY""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880871639660,""user_id"":""UA000000107397945""}"
UA000000107396286,"{""device"":""Android"",""ecommerce"":{},""event_name"":""add_item"",""event_previous_timestamp"":1593880879436079,""event_timestamp"":1593880881784368,""geo"":{""city"":""Gillette"",""state"":""WY""},""items"":[{""item_id"":""M_STAN_Q"",""item_name"":""Standard Queen Mattress"",""item_revenue_in_usd"":1045.0,""price_in_usd"":1045.0,""quantity"":1}],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880695978108,""user_id"":""UA000000107396286""}"
UA000000107398037,"{""device"":""Android"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880882964262,""geo"":{""city"":""Vernon"",""state"":""TX""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880882964262,""user_id"":""UA000000107398037""}"
UA000000107398054,"{""device"":""Android"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880885036129,""geo"":{""city"":""New York"",""state"":""NY""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880885036129,""user_id"":""UA000000107398054""}"
UA000000107392458,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""add_item"",""event_previous_timestamp"":1593880300696751,""event_timestamp"":1593880892251310,""geo"":{""city"":""Westbrook"",""state"":""ME""},""items"":[{""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595.0,""price_in_usd"":595.0,""quantity"":1}],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880300696751,""user_id"":""UA000000107392458""}"
UA000000107395968,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""premium"",""event_previous_timestamp"":1593880861030241,""event_timestamp"":1593880889126778,""geo"":{""city"":""Fishers"",""state"":""IN""},""items"":[],""traffic_source"":""youtube"",""user_first_touch_timestamp"":1593880664658773,""user_id"":""UA000000107395968""}"
UA000000107398030,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""original"",""event_previous_timestamp"":1593880882429980,""event_timestamp"":1593880889676857,""geo"":{""city"":""Lomita"",""state"":""CA""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880882429980,""user_id"":""UA000000107398030""}"
UA000000107382233,"{""device"":""Android"",""ecommerce"":{},""event_name"":""cc_info"",""event_previous_timestamp"":1593880364321088,""event_timestamp"":1593880886065125,""geo"":{""city"":""New York"",""state"":""NY""},""items"":[{""item_id"":""M_STAN_F"",""item_name"":""Standard Full Mattress"",""item_revenue_in_usd"":945.0,""price_in_usd"":945.0,""quantity"":1}],""traffic_source"":""instagram"",""user_first_touch_timestamp"":1593879195262047,""user_id"":""UA000000107382233""}"
