title	director	cast	country	rating	listed_in	description	show_id	release_year	date_added	duration
True Tunes		Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux		TV-Y	Kids' TV	True and her friends are dropping sweet, silly beats with freshly modern music videos set to the sounds of classic nursery rhyme songs.	81056491	2019		1
Gonul	Neslihan Yesilyurt	Gökçe Bahadır, Engin Öztürk, Onur Saylak	Turkey	TV-14	International TV Shows, TV Dramas, TV Thrillers	A nurse escapes from her surgeon fiancé after his ex reveals his dark secrets. She later finds love again, but a car accident changes everything.	80120200	2015		1
Chhota Bheem		Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil	India	TV-Y7	Kids' TV	A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.	81088331	2019		1
Family Reunion		Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Richard Roundtree	United States	TV-PG	TV Comedies	When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.	80234451	2019		1
DreamWorks Kung Fu Panda Awesome Secrets		Jack Black, Dustin Hoffman, Dennis Haysbert, Paul Scheer, Randall Duk Kim, David Cross, Jessica DiCicco, Jaycee Chan, Angelina Jolie, Seth Rogen, Tony Leondis	United States	TV-PG	Kids' TV, TV Action & Adventure, TV Comedies	In this pair of adventures, Po tells the story of how masters Thundering Rhino, Storming Ox and Croc met and takes on Shifu's biggest challenge yet.	70241791	2008		1
Flowering Heart		Choi Da-in, Yang Se-na, Gim Chae-eun, Esther, Um Sang-hyun, Shin Yong-woo	South Korea	TV-Y7	Kids' TV, Korean TV Shows	An ordinary student, who forms an advice club with her friends to help others, gains special powers after a mysterious encounter.	81099997	2016		1
Inside the Mind of a Serial Killer			United States	TV-14	Crime TV Shows, Docuseries	Mixing dramatic re-enactments with real-life footage, this series delves into the tormented psyches of the world's most infamous serial killers.	80189451	2015		1
Molang		Bruno Guéraçague	France	TV-Y	Kids' TV	An imaginative, big-hearted bunny and his friend, a shy chick, explore the everyday joys of their pastel-colored world.	81099996	2015		1
Rabbids Invasion		Damien Laquet, David Gasman, Barbara Scaff	France	TV-Y7	Kids' TV, TV Comedies	Giant, rambunctious rabbits have invaded and are wreaking havoc on the world. But we'll have to get used to them, because they're not going anywhere!	80005772	2018		1
Record of Grancrest War		Kentaro Kumagai, Akari Kito, Yuichi Nakamura, Reina Ueda, Satoshi Hino, Yoshitsugu Matsuoka, Natsumi Takamori, Ai Kayano, Takahiro Sakurai, Wataru Hatano, Yuichi Iguchi, Minori Suzuki, Megumi Nakajima, Yuhko Kaida, Chika Anzai, Yumi Uchiyama, Kaede Hondo, Satoshi Mikami, Ayane Sakura, Ari Ozawa, Tatsuhisa Suzuki, Hiro Shimono	Japan	TV-MA	Anime Series	Lone mage Siluca wanders the land of Atlatan, disgusted by its greedy nobility. When she meets knight errant Theo, she sees a chance to create peace.	81086718	2018		1
Stone Age		Samantha Moon, Nancy Kim, Jacqueline Youn, Mike Yantzi, Anna Paik, Matt Anipen, Josh Schwartzentruber		TV-Y7	Kids' TV, Korean TV Shows	Woody sets out to become the Stone Age's best animal trainer with a little help from his faithful pet dinosaur, Moga.	81100120	2017		1
Titipo Titipo		Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun		TV-Y	Kids' TV, Korean TV Shows	Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.	81099976	2018		1
Comedy High School		Ram Kapoor, Gopal Dutt, Paritosh Tripathi, Krishna Bhatt, Jasmeet Bhatia, Deepak Dutta, Parvati Sehgal, Surleen Kaur		TV-14	International TV Shows, TV Comedies	Featuring goofy sketches and celebrity appearances, this offbeat stage show follows an assortment of oddball characters at an eccentric high school.	80229417	2018		1
46	Serdar Akar	Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu	Turkey	TV-14	International TV Shows, TV Dramas, TV Mysteries	A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.	80158301	2016		1
Against the Tide		Christopher Lee, Rui En, Desmond Tan, Zheng Geping, Zhang Zhenhuan, Paige Chua, Xu Bin, Carrie Wong	Singapore	TV-14	Crime TV Shows, International TV Shows, TV Dramas	A detective and a psychologist investigating a string of murders form a crime-solving team with the novelist whose work inspired the killings.	80156950	2014		1
Barbie Life in the Dreamhouse		Kate Higgins, Sean Hankinson, Haviland Stillwell, Paula Rhodes, Charlie Bodin, Laura Gerow, Katie Crown, Nakia Burrise, Tara Sands, Ashlyn Selich	United States	TV-G	Kids' TV, TV Comedies	Join blond icon Barbie and her fabulous friends as their behind-the-scenes adventures are revealed in this animated Web series.	70294800	2012		1
Breakout		Jeanette Aw, Elvin Ng, Zhou Ying, Christopher Lee, Dai Xiangyu, Guo Liang		TV-14	International TV Shows, TV Dramas	After losing her family in a suspicious car crash, a woman awakens from a 13-year coma determined to expose the truth about the long-ago tragedy.	80156992	2010		1
Deep Water		Noah Taylor, Yael Stone, Jeremy Lindsay Taylor, Danielle Cormack, Ben Oxenbould, Dan Spielman, Craig McLachlan, William McInnes, Olivia McNamara, John Brumpton, Simon Burke, Simon Elrahi, Victoria Haralabidou, Renee Lim, Julian Maroun, George Harrison Xanthis	Australia	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	Back in Bondi Beach, where she grew up, DC Tori Lustigman investigates a gay man's murder and finds a link to her brother's death decades earlier.	80118532	2016		1
Learning Songs by Little Baby Bum: Nursery Rhyme Friends		Chloe Marsden, Aaron Marsden, María Esnoz		TV-Y	British TV Shows, Kids' TV	Simple songs mix with colorful animation to teach youngsters about concepts such as animals, vehicles, numbers, colors and more.	80177684	2015		1
Momo Salon		Lizzy, Jung-min Park, Sang-hee Lee	South Korea	TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	An aspiring hair stylist opens her own salon. It turns into a mail-holding hub for busy neighbors, but she seizes the chance to promote her business.	80116687	2014		1
Mystic Whispers		Romeo Tan, Sheila Sim, Yuan Shuai, Aloysius Pang		TV-14	International TV Shows, TV Dramas, TV Horror	After a car accident enables a young woman to hear mysterious sounds, she meets a mortician. Together, they listen to ghosts and try to help them.	80157457	2014		1
Spice Up		Jeanette Aw, Patrick Lee, Huang Qi Ming, Sora Ma, Hong Huifang, Xu Bin, Chen Shucheng		TV-PG	International TV Shows, Romantic TV Shows, TV Dramas	A spoiled young woman steps in to save her family’s restaurant with her cooking and tasting skills while balancing her complicated love life.	80159899	2014		1
The Oath		Christopher Lee, Jesseca Liu, Ann Kok, Kate Pang, Zhang Zhenhuan, Richard Low	Singapore	TV-PG	International TV Shows, Romantic TV Shows, TV Dramas	Two doctors with opposite approaches to treating patients clash on the job and must learn to trust each other's expertise, allowing love to bloom.	80157567	2011		1
The Truth Seekers		Chen Hanwei, Rebecca Lim, Desmond Tan, Yusuke Fukuchi	Singapore	TV-14	Crime TV Shows, International TV Shows, TV Dramas	A veteran cop forms an agency dedicated to solving cold cases, including those related to the team members' own painful and mysterious pasts.	80157390	2016		1
The Ultimatum		Zoe Tay, Fann Wong, Li Nanxing, Tay Ping Hui, Elvin Ng, Felicia Chin, Jerry Yeo		TV-14	International TV Shows, TV Dramas	Love and intrigue swirl around two women – one a champion of human rights, the other an ambitious businesswoman – who were switched at birth.	80157392	2009		1
World at Your Feet		Ha Yu, Tay Ping Hui, Jeanette Aw, Elvin Ng, Yvonne Lim, Zhang Zhenhuan, Vivian Lai, Ian Fang, Xu Bin	Singapore	TV-PG	International TV Shows, TV Dramas	A group of struggling individuals are united by a love of soccer. At the center is Renxin, a reclusive widower and former coach who needs new hope.	80160125	2014		1
Yes We Can!		Romeo Tan, Rebecca Lim, Sora Ma, Xu Bin, Chen Liping, Chen Hanwei, Yao Wenlong, Eelyn Kok, Dennis Chew		TV-PG	International TV Shows, TV Dramas	When a frustrated businessman starts his own firm, it soon morphs into a way to help senior citizens refresh their dying traditional trades.	80157864	2014		1
Yours Fatefully		Kingone Wang, Jesseca Liu, Xiang Yun, Chen Shucheng, Eelyn Kok, Cavin Soh, Sora Ma	Singapore	TV-PG	International TV Shows, Romantic TV Shows, TV Comedies	Two lonely singles meet on a blind date and slowly get to know each other, unaware that their parents are friends and may be falling in love.	80157717	2012		1
Deep		Patrick Ridremont, Olivier Chantreau, Pénélope Leveque, Emmanuelle Meyssignac, Salem Kali, Yann Sundberg, Victor Viel, Victor Pontecorvo, Pierre Benoist, Swann Arlaud, Phénix Brossard, Eriq Ebouaney, Tony Harrisson	France	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	As he grapples with a life-threatening illness, a police investigator tracks the explosion of a new synthetic drug on the streets of Paris.	80104950	2016		1
Happyish		Steve Coogan, Kathryn Hahn, Sawyer Shipman, Bradley Whitford	United States	TV-MA	TV Comedies, TV Dramas	"A middle-aged adman is shaken up by his new boss, a 25-year-old who advises him to \"rebrand\" himself. Is it possible, or is this as good as he'll get?"	80036981	2015		1
Limitless			United States	TV-14	Crime TV Shows, TV Dramas, TV Sci-Fi & Fantasy	A failed musician unleashes his brain's full powers with a new drug and is hired to solve the FBI's hardest cases in this show based on the 2011 film.	80065182	2016		1
Operation Proposal		Seung-ho Yoo, Eun-bin Park, Kyung-pyo Go, Ye-won Kim, Hyun Jin Lee, Jin-joo Park	South Korea	TV-PG	International TV Shows, Korean TV Shows, Romantic TV Shows	On Yi-seul's wedding day, her friend Baek-ho wishes he could turn back time to tell her he loves her. Soon he gets a chance to change everything.	70251160	2012		1
The Future of Water			Norway	TV-PG	Docuseries, International TV Shows, Science & Nature TV	A look at the deeply intertwined history of humanity and fresh water reveals looming challenges that could upend power structures around the world.	80114499	2007		1
Cheer			United States	TV-MA	Docuseries, Reality TV, Teen TV Shows	This gripping docuseries follows the ups and downs of Navarro College's competitive cheer squad as they work to win a coveted national title.	81039393	2020		1
Tundukkan Playboy Itu		Hafidz Roshdi, Uqasha Senrose, Alif Satar, Mawar Rashid		TV-14	International TV Shows, Romantic TV Shows, TV Comedies	Under pressure from his parents to settle down, a pleasure-seeking playboy falls for a woman who's like nobody he's ever met.	80180619	2016		1
Devilman Crybaby	Masaaki Yuasa	Kouki Uchiyama, Ayumu Murase, Megumi Han, Ami Koshimizu, Atsuko Tanaka, Rikiya Koyama, Avu-chan, Kenjiro Tsuda, KEN THE 390, Subaru Kimura, Young Dais, Hannya, AFRA	Japan	TV-MA	Anime Series, International TV Shows, TV Horror	With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo.	80174974	2018		1
Dracula		Claes Bang, Dolly Wells, John Heffernan	United Kingdom	TV-14	British TV Shows, International TV Shows, TV Dramas	The Count Dracula legend transforms with new tales that flesh out the vampire's gory crimes – and bring his vulnerability into the light.	80997687	2020		1
Go! Go! Cory Carson		Alan C. Lim, Paul Killam, Maisie Benson, Kerry Gudjohnsen, Smith Foreman, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Jim Capobianco, Anna Chambers, Pfifer Chastain	United States	TV-Y	Kids' TV	Beep, beep – go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills.	80237347	2020		1
Case Closed		Minami Takayama, Alison Retzloff, Wakana Yamazaki, Colleen Clinkenbeard, Akira Kamiya, R. Bruce Elliott, Wataru Takagi, Chafurin, Mark Stoddard	Japan	TV-14	Anime Series, Crime TV Shows, TV Thrillers	Turned into a young boy by a sinister potion, teen sleuth Conan helps solve baffling crimes while tracking down the nefarious agents who poisoned him.	80090370	2015		1
See You in Time		Hans Chung, Mini Tsai, Albee Huang, David Chiu, Johnny Yang, Kuan Lin, Ray Yang, Liu Yu Shan		TV-14	International TV Shows, Romantic TV Shows, TV Dramas	A series of mysterious text messages from the future sends ripples through the lives of a delivery woman and an accomplished cyclist.	81020635	2017		1
Crime Time		Augusto Madeira, Érico Brás, Gustavo Machado, Dionisio Neto, Fernanda Vianna, Georgina Castro, Leo Miranda, Marat Descartes, Mauricio Tarcinalli Barros, Sabrina Greve, Sérgio Malheiros	France	TV-MA	Crime TV Shows, International TV Shows, TV Action & Adventure	Born into poverty and trapped in a grim job as a cop in the favelas, a wannabe actor forges a bloody path to celebrity and wealth. Based on true events.	81034697	2017		1
Retribution		Georgina Campbell, Joe Dempsie, Adrian Edmondson, Steve Evets, Laura Fraser, Julie Graham, John Lynch, Gary Lewis, Juliet Stevenson, Joanna Vanderham	United Kingdom	TV-MA	British TV Shows, Crime TV Shows, International TV Shows	A dark web of secrets and lies emerges when a newlywed couple is killed and detectives question their feuding families.	80141960	2016		1
The Lady in Dignity		Hee-seon Kim, Seon-a Kim, Sang-hun Jeong, Tae-im Lee, Ki-woo Lee	South Korea	TV-MA	International TV Shows, Korean TV Shows, TV Dramas	The wife of a corporate heir finds her luxurious life overturned by a mysterious woman who joins the household as a caregiver for her father-in-law.	80226168	2017		1
Inside the Mossad			Israel	TV-14	Docuseries, International TV Shows	In this documentary, dozens of former agents from the Mossad, Israel's foreign intelligence agency, reveal their top-secret operations.	80244929	2017		1
Frozen Planet	Alastair Fothergill	David Attenborough	United Kingdom, United States, Spain, Germany, Greece, Canada	TV-PG	British TV Shows, Docuseries, International TV Shows	Go on a journey through the Arctic and Antarctic with this visually stunning program that explores these wildernesses and their inhabitants.	70261978	2011		1
The Making of Frozen Planet		David Attenborough	United Kingdom, United States, Spain, Germany, Greece, Canada	TV-PG	British TV Shows, Docuseries, Science & Nature TV	Documentary crew members brave Earth's most frigid regions to capture the majesty and mystery found in the chillier side of the animal kingdom.	80048250	2012		1
A Taiwanese Tale of Two Cities		Tammy Chen, James Wen, Peggy Tseng, Denny Huang		TV-MA	International TV Shows, TV Dramas	A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.	80189619	2018		1
Juana Inés		Arcelia Ramírez, Arantza Ruiz, Hernán Del Riego, Margarita Sanz, Lisa Owen, Yolanda Corrales, Carlos Valencia, Mauricio Isaac, Pedro de Tavira Egurrola, Emilio Savinni, Néstor Galván, Paulina Matos, Alberto Collado, Rocío García, Luis Maya, Clementina Guadarrama	Mexico	TV-14	International TV Shows, Spanish-Language TV Shows, TV Dramas	Juana Inés de la Cruz, a powerful feminist nun involved in a forbidden love affair with a woman, faces oppression in 17th-century Mexico.	80123792	2016		1
Shadow of Truth			Israel	TV-MA	Crime TV Shows, Docuseries, International TV Shows	This documentary series explores the explosive 2006 murder case of a 13-year-old Israeli girl and the subsequent conviction of a Ukrainian immigrant.	80132792	2016		1
Dirty Money			United States	TV-14	Crime TV Shows, Docuseries	From crippling payday loans to cars that cheat emissions tests, this investigative series exposes brazen acts of corporate greed and corruption.	80118100	2018		1
Black Earth Rising		Michaela Coel, John Goodman, Abena Ayivor, Noma Dumezweni, Ronald Guttman, Danny Sapani, Harriet Walter, Tyrone Huggins, Emmanuel Imani, Lucian Msamati, Tamara Tunie	United Kingdom	TV-MA	British TV Shows, International TV Shows, TV Dramas	Adopted by a human rights attorney after the Rwandan genocide, legal investigator Kate Ashby confronts her past when she takes on war crimes cases.	80145141	2018		1
Examination of Conscience			Spain	TV-MA	Crime TV Shows, Docuseries, International TV Shows	Allegations of child sexual abuse in Spain's Catholic institutions are examined in interviews with survivors, clergy, journalists and other experts.	80991879	2019		1
Kingdom	Kim Seong-hun	Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jeon Seok-ho, Kim Hye-jun, Heo Jun-ho, Jung Suk-won, Kim Jong-soo	South Korea, United States	TV-MA	International TV Shows, Korean TV Shows, TV Action & Adventure	While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.	80180171	2019		1
The Perfect Match		Wu Kang-jen, Ivy Shao, Ben Wu, Xiao Man, Nylon Chen		TV-14	International TV Shows, Romantic TV Shows, TV Comedies	A night market vendor clashes with a lofty celebrity chef in a culinary challenge, fueling the first sparks of a romance.	81020577	2017		1
Conversations with a Killer: The Ted Bundy Tapes			United States	TV-MA	Crime TV Shows, Docuseries	Present-day interviews, archival footage and audio recordings made on death row form a searing portrait of notorious serial killer Ted Bundy.	80226612	2019		1
Prison Playbook		Hae-soo Park, Kyung-ho Jung, Dong-il Sung, Krystal Jung, Soo-jeong Ye, Jae-sung Jung, Hoon-jin Lee, Kyoo-hyung Lee, Ho-cheol Lee, Chang-hwan Ahn, Kyung-nam Kim	South Korea	TV-MA	International TV Shows, Korean TV Shows, TV Comedies	With his major league baseball debut right around the corner, a star pitcher lands in prison and must learn to navigate his new world.	80214406	2017		1
Innocent	Seren Yüce	Ali Atay, Haluk Bilginer, Nur Sürer, Okan Yalabık, Tülin Özen, Serkan Keskin, Bartu Küçükçağlayan, Irem Altug, Mehmet Özgür, Merve Ates, Defne Halman, Cem Zeynel Kiliç, Esra Kizildogan	Turkey	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	In a peaceful, rustic town, a retired officer and his family are mired in a murder mystery riddled with shocking, buried secrets.	81026192	2017		1
Chelsea Does		Chelsea Handler	United States	TV-MA	Docuseries, Science & Nature TV	In a provocative documentary series, comedian Chelsea Handler confronts personal and cultural hang-ups around four topics that fascinate her.	80073486	2016		1
The Traffickers		Nelufar Hedayat	United States	TV-MA	Crime TV Shows, Docuseries	In this hard-hitting series, journalist Nelufar Hedayat travels the globe to expose an array of black markets, from guns and gold to human body parts.	80175290	2016		1
Justice	Ahmed Khaled Moussa	Fatima Al Taei, Mansoor Alfeeli, Malak Al Khalidi, Khalifa Albhri, Nivin Madi, Mohammed Alamry, Bilal Abdullah, Abdullah Almaqbali, Alaa Shaker, Abdullah Bin Haidar, Humaid Alawadi	United Arab Emirates	TV-14	Crime TV Shows, International TV Shows, TV Dramas	Defying pressure to join her father's firm, a determined young lawyer strikes out on her own and fights to maintain faith in Abu Dhabi's justice system.	81026986	2018		1
Love and Hong Kong		Eiko Koike, Ryo Yoshizawa, Fumika Baba, Moga Mogami, Tomo Yanagishita, Kaoru Nagata, Ryo Iwamatsu	Japan	TV-14	International TV Shows, Romantic TV Shows, TV Dramas	The lives of five strangers become intertwined forever when a starlet filming a documentary is kidnapped on the streets of Hong Kong.	80216146	2017		1
Sex, Explained		Janelle Monáe	United States	TV-MA	Docuseries, Science & Nature TV	From the biology of attraction to the history of birth control, explore the ins and outs of sex in this entertaining and enlightening series.	81160763	2020		1
Thieves of the Wood		Matteo Simoni, Tom Van Dyck, Stef Aerts, Anne-Laure Vandeputte, Jeroen Perceval, Charlotte Timmers, Dirk Roofthooft, Anemone Valcke	Belgium	TV-MA	International TV Shows, TV Action & Adventure, TV Dramas	Charismatic highwayman Jan de Lichte leads the oppressed and downtrodden in a revolt against the corrupt aristocracy of 18th-century Flanders.	81054827	2019		1
Déjà Vu		Mandy Wei, Yao Yuan Hao, Wang Si Ping, Yang Zheng, Jenna Wang, Nylon Chen		TV-14	International TV Shows, Romantic TV Shows, TV Dramas	After losing everything, a prima ballerina accepts a stranger's offer to dial back time and reclaim what was taken from her – but at a great price.	81020692	2013		1
Legends of Strength		Eugen Sandow, Apollon	United States	TV-PG	Docuseries	From a circus entertainer to a grip master, meet the bodybuilding heroes who defied physical limits and redefined the meaning of strength.	81038575	2017		1
Memory Love		Andy Chen, Mandy Wei, Jolin Chien, Mandy Tao, Kris Shen, Nylon Chen		TV-14	International TV Shows, Romantic TV Shows, TV Dramas	Losing her memory – and her boyfriend – after a car accident, Jia-en crosses paths with a heart transplant recipient who helps her recall her past.	81020612	2017		1
Strongland				TV-PG	Docuseries, International TV Shows	From Spain's countryside to Scotland's stony terrain, this collection of uplifting documentaries explores the cultural roots of great strongman traditions.	81038583	2018		1
Trigger Warning with Killer Mike		Killer Mike		TV-MA	Docuseries	In this funny and provocative series, rapper and activist Killer Mike puts his revolutionary ideas about achieving social change into action.	80144442	2019		1
Tiempos de guerra		Amaia Salamanca, Álex García, Alicia Borrachero, José Sacristán, Verónica Sánchez, Álex Gadea, Anna Moliner, Cristóbal Suárez, Silvia Alonso, Daniel Lundh, Nuria Herrero	Spain	TV-MA	International TV Shows, Romantic TV Shows, Spanish-Language TV Shows	In 1921, nurse trainees from Madrid's upper class open a hospital in Melilla for Rif War soldiers, finding friendship and romance while saving lives.	80215322	2017		1
Ares		Jade Olieberg, Tobias Kersloot, Lisa Smit, Frieda Barnhard, Hans Kesting, Rifka Lodeizen, Robin Boissevain, Jennifer Welts, Steef de Bot, Jip van den Dool, Janni Goslinga, Dennis Rudge, Ian Bok, Roos Dickmann, Minne Koole, Alexander Brouwer		TV-MA	International TV Shows, TV Dramas, TV Horror	Aiming to become part of Amsterdam's elite, an ambitious college student joins an exclusive society, unaware it's hiding a horrifying secret.	80995039	2020		1
Nailed It! Germany		Angelina Kirsch, Bernd Siefert		TV-14	International TV Shows, Reality TV	Home cooks try – and inevitably fail – to re-create spectacular confections on this comical competition show, all for a sweet 5,000 euros.	81062580	2020		1
Godzilla	Kobun Shizuno, Hiroyuki Seshita	Mamoru Miyano, Takahiro Sakurai, Kana Hanazawa, Tomokazu Sugita, Yuki Kaji, Junichi Suwabe, Daisuke Ono, Kenta Miyake, Kenyu Horiuchi, Kazuya Nakai, Kazuhiro Yamaji	Japan	TV-14	TV Shows	A desperate group of refugees attempts to recolonize Earth 20,000 years after Godzilla took over. But one young man wants revenge above all else.	80180373	2017		1
Şubat		Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas	Turkey	TV-14	Crime TV Shows, International TV Shows, TV Dramas	An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.	80126875	2013		1
Handsome Siblings		Hu Yitian, Chen Zheyuan, Liang Jie, Vicky Liang, Tay Ping Hui, Nikita Mao, Gallen Lo, Song Wenzuo, Jin Song, Jason Zheng	China	TV-14	International TV Shows, TV Dramas, TV Sci-Fi & Fantasy	Clashing martial arts twins face relentless villains, thorny romance and brotherly rivalry as their troubled pasts catch up to them.	80996973	2020		1
Killer Inside: The Mind of Aaron Hernandez		Aaron Hernandez	United States	TV-MA	Crime TV Shows, Docuseries	Via interviews with friends, players and insiders, this docuseries examines how Aaron Hernandez went from an NFL star to a convicted killer.	81062828	2020		1
La Rosa de Guadalupe		Milia Nader, Francisco Avendaño, Diego Lara, Sandra Itzel, Marisol del Olmo, Aleyda Gallardo, Gerardo Murguía, Roxana Saucedo, Emmanuel Orenday, Maru Dueñas	Mexico	TV-PG	Classic & Cult TV, Crime TV Shows, International TV Shows	This series responds to the need to believe in miracles, dreams, love stories and happy endings, with positive characters.	70205712	2010		1
La Viuda Negra	Alejandro Lozano	Ana Serradilla, Julián Román, Ramiro Meneses, Juan Pablo Gamboa, Eileen Moreno, Luis Alfredo Velasco, Margarita Reyes, Alexander Gil, Luis Roberto Guzmán, Raúl Méndez	Colombia, Mexico, United States	TV-14	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	Beautiful and ruthless Griselda Blanco, known as the queen of cocaine, becomes Pablo Escobar's boss and governs a world of deceit and death.	80028965	2016		1
Lavender		Ambrose Hsu, Tammy Chen, Wang Jian Long, Lin Wei Jun, Hsia Ching Ting, Lin Heng Yi	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Dramas	Before one of them moves to the U.S., two childhood friends promise to reunite as adults. But illness and the vagaries of the heart stand in the way.	81020716	2002		1
Kipo and the Age of Wonderbeasts		Karen Fukuhara, Sydney Mikayla, Deon Cole, Coy Stewart, Dee Bradley Baker, Sterling K. Brown, Dan Stevens, Jake Green, Steve Blum	United States	TV-Y7-FV	Kids' TV, TV Comedies	Making her way through a world of mutant animals, a sheltered yet scrappy girl learns how to survive – and get home – with help from her ragtag crew.	80221553	2020		1
La Grande Chaumière Violette		Eli Shi, Alice Ko, Jen-Shuo Cheng, Chiung-Hsuan Hsieh, Herb Hsu, Bryant Lee, Hsiu-Ling Lin, Ma Ju-lung, Ching-kuan Wang	Taiwan	TV-14	International TV Shows, TV Dramas	Reminiscing about his youth in Taiwan's turbulent 1920s, Guo Xuehu reflects on his passion for art, a friendship with a painter – and a doomed romance.	81020668	2016		1
